Section,Chapter number,Grammar Rule
1,1,V - て + みる
1,2,（いA　・　なA）　＋　〜そうだ
1,3,"PL + んです
（なAだ　・　Nだ）"
1,4,Vます+ 方
1,5,"PL + ので
（なAだ　な　・　Nだ　な）"
1,6,（Vる　＋　こと ・　N)　＋　ができる
1,7,"PL ＋　かどうか
（なAだ　・　Nだ）"
2,8,V - て + V
2,9,Vーない　＋　で　＋　V
2,10,V - て + しまう
2,11,PL ＋　ら
2,12,V - できる (potential form)
3,13,"PL ＋　という意味
なA ・　N  ＋　という意味
V ー しろ・V ー　よう　＋　という意味"
3,14,V ー られる(passive form)
3,15,"Pl ＋　のに
なA だ　な　・　N だ　な"
3,16,V - ない　＋　なければならない
3,17,V-て　〜もいい
3,18,[receiver] に　あげる
3,19,no information
3,20,no information
3,21,no information
3,22,no information
3,23,no information
3,24,no information
3,25,no information
3,26,no information
3,27,no information
3,28,no information
3,29,no information
3,30,no information
3,31,no information
3,32,no information
3,33,no information
3,34,no information
3,35,no information
3,36,no information
3,37,no information
3,38,no information
3,39,no information
3,40,no information
3,41,no information
3,42,no information
3,43,no information
3,44,no information
3,45,no information
3,46,no information
3,47,no information
3,48,no information
3,49,no information
3,50,no information
3,51,no information
3,52,no information
3,53,no information
3,54,no information
3,55,no information
3,56,no information
3,57,no information
3,58,no information
3,59,no information
3,60,no information
3,61,no information
3,62,no information
3,63,no information
3,64,no information
3,65,no information